,amount,city,marka,model,year,type,color,distance,motor_volume,horse_power,motor_type,is_outlier
0,17500.0,Bakı,Hyundai,Sonata,2010,Sedan,Gümüşü,222000,2.4,178,Benzin,False
1,27300.0,Bakı,Toyota,Corolla,2021,Sedan,Qara,73000,1.6,122,Benzin,False
2,32123.0,Bakı,Toyota,Corolla,2024,Sedan,Ağ,0,1.8,98,Hibrid,False
3,17500.0,Qazax,Chevrolet,Trax,2018,"Offroader / SUV, 5 qapı",Qara,205000,1.4,138,Benzin,False
4,24900.0,Bakı,Ford,Fusion (North America),2016,Sedan,Ağ,169000,2.0,240,Plug-in Hibrid,False
5,40500.0,Bakı,Mercedes,E 220 d,2014,Sedan,Qara,156000,2.2,170,Dizel,False
6,8300.0,Şirvan,GAZ,31105,2004,Sedan,Yaş Asfalt,220000,2.4,131,Benzin,False
7,35990.0,Bakı,Toyota,Corolla Cross,2025,"Offroader / SUV, 5 qapı",Ağ,0,2.0,196,Hibrid,False
8,5200.0,Bakı,Mercedes,190,1991,Sedan,Qəhvəyi,198550,1.8,109,Benzin,False
9,48900.0,Bakı,Toyota,Camry,2021,Sedan,Qara,128000,2.5,200,Benzin,False
10,93500.0,Bakı,Mercedes,GLC 200 4MATIC+ Coupe,2022,SUV Kupe,Qara,20000,2.0,197,Benzin,False
11,25800.0,Bakı,Ford,Transit,2006,Furqon,Ağ,372000,2.2,125,Dizel,False
12,25000.0,Bakı,Hyundai,Elantra,2019,Sedan,Yaş Asfalt,107500,2.0,150,Benzin,False
13,38930.0,Bakı,Audi,A4,2016,Sedan,Göy,115000,2.0,249,Benzin,False
14,82000.0,Bakı,Mercedes,GLE 43 AMG 4MATIC Coupe,2018,SUV Kupe,Yaş Asfalt,77000,3.0,390,Benzin,False
15,10400.0,Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,258000,2.3,193,Benzin,False
16,37230.0,Bakı,Ford,Mustang,2019,Kabriolet,Qara,63125,2.3,317,Benzin,False
17,8100.0,Bakı,Opel,Astra,2006,"Hetçbek, 5 qapı",Göy,222220,1.3,90,Dizel,False
18,10900.0,Şəmkir,Mercedes,E 240,1997,Sedan,Gümüşü,700000,2.4,170,Benzin,False
19,23300.0,Bakı,BYD,Seal 05,2025,Sedan,Ağ,0,1.5,290,Plug-in Hibrid,False
20,34510.0,Bakı,Toyota,Corolla Cross,2025,"Offroader / SUV, 5 qapı",Ağ,0,2.0,197,Hibrid,False
21,16000.0,Bakı,Honda,City,2014,Sedan,Qara,130000,1.5,117,Benzin,False
22,30900.0,Sumqayıt,Changan,Qiyuan Q05,2025,"Offroader / SUV, 5 qapı",Yaş Asfalt,0,1.5,215,Plug-in Hibrid,False
23,8700.0,Gəncə,Renault,Megane,2006,"Universal, 5 qapı",Ağ,350000,1.5,110,Dizel,False
24,34500.0,Bakı,Kia,Sorento,2015,"Offroader / SUV, 5 qapı",Boz,117000,2.0,240,Benzin,False
25,20900.0,Bakı,BMW,i3,2016,"Hetçbek, 5 qapı",Yaş Asfalt,149532,0.0,170,Elektrik,False
26,6500.0,Salyan,Mercedes,E 200 d,2020,Sedan,Qara,221696,2.0,150,Dizel,False
27,39500.0,Bakı,Ford,Transit,2008,Furqon,Ağ,183900,2.4,140,Dizel,False
28,42330.0,Bakı,Changan,Qiyuan A07,2024,Liftbek,Çəhrayı,3650,1.5,218,Plug-in Hibrid,False
29,28300.0,Bakı,BMW,328,2015,Sedan,Qara,170000,2.0,245,Benzin,False
30,20500.0,Bakı,Mazda,6,2013,Sedan,Yaş Asfalt,250000,2.5,192,Benzin,False
31,8300.0,Bakı,Opel,Astra,2005,"Hetçbek, 5 qapı",Gümüşü,330000,1.3,90,Dizel,False
32,19000.0,Bakı,Chevrolet,Lacetti,2022,Sedan,Yaş Asfalt,83450,1.5,106,Benzin,False
33,23000.0,Bakı,Hyundai,Elantra,2018,Sedan,Ağ,127867,2.0,150,Benzin,False
34,26800.0,Bakı,Toyota,Camry,2011,Sedan,Ağ,214000,2.5,181,Benzin,False
35,9500.0,Bakı,Peugeot,308,2008,"Hetçbek, 5 qapı",Boz,120000,1.6,140,Benzin,False
36,15900.0,Bakı,Chevrolet,Cruze,2017,Sedan,Qara,160000,1.4,153,Benzin,False
37,13300.0,Gəncə,Kia,Ceed SW,2009,"Universal, 5 qapı",Qara,197790,1.4,109,Benzin,False
38,66130.0,Bakı,Lexus,NX 200,2022,"Offroader / SUV, 5 qapı",Qara,24612,2.0,150,Benzin,False
39,66300.0,Bakı,Xiaomi,SU7,2024,Sedan,Mavi,0,0.0,299,Elektrik,False
40,32000.0,Bakı,Volkswagen,Touareg,2013,"Offroader / SUV, 5 qapı",Qara,132000,3.6,280,Benzin,False
41,11900.0,Şəmkir,Nissan,Sunny,2007,Sedan,Gümüşü,302000,1.6,107,Benzin,False
42,16900.0,Bakı,Ford,Fusion (North America),2018,Sedan,Göy,110000,1.5,184,Benzin,False
43,22000.0,Bakı,Toyota,Corolla,2018,Sedan,Ağ,46000,1.8,98,Hibrid,False
44,23900.0,Bakı,Mercedes,C 250,2011,Sedan,Qara,138000,1.8,204,Benzin,False
45,19500.0,Bakı,Hyundai,Accent,2016,Sedan,Ağ,106000,1.6,128,Dizel,False
46,70550.0,Bakı,Mercedes,E 250,2018,Sedan,Ağ,41900,2.0,211,Benzin,False
