,item_id,amount,currency,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş
0,9484384,17500,AZN,Bakı,Hyundai,Sonata,2010,Sedan,Gümüşü,2.4 L / 178 a.g. / Benzin,222 000 km
1,9510860,27300,AZN,Bakı,Toyota,Corolla,2021,Sedan,Qara,1.6 L / 122 a.g. / Benzin,73 000 km
2,9351100,32123,AZN,Bakı,Toyota,Corolla,2024,Sedan,Ağ,1.8 L / 98 a.g. / Hibrid,0 km
3,9484758,17500,AZN,Qazax,Chevrolet,Trax,2018,"Offroader / SUV, 5 qapı",Qara,1.4 L / 138 a.g. / Benzin,205 000 km
4,9441324,24900,AZN,Bakı,Ford,Fusion (North America),2016,Sedan,Ağ,2.0 L / 240 a.g. / Plug-in Hibrid,169 000 km
5,9052983,40500,AZN,Bakı,Mercedes,E 220 d,2014,Sedan,Qara,2.2 L / 170 a.g. / Dizel,156 000 km
6,9516909,8300,AZN,Şirvan,GAZ,31105,2004,Sedan,Yaş Asfalt,2.4 L / 131 a.g. / Benzin,220 000 km
7,9024938,35990,AZN,Bakı,Toyota,Corolla Cross,2025,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 196 a.g. / Hibrid,0 km
8,9517111,5200,AZN,Bakı,Mercedes,190,1991,Sedan,Qəhvəyi,1.8 L / 109 a.g. / Benzin,198 550 km
9,9512660,48900,AZN,Bakı,Toyota,Camry,2021,Sedan,Qara,2.5 L / 200 a.g. / Benzin,128 000 km
10,9459764,55000,USD,Bakı,Mercedes,GLC 200 4MATIC+ Coupe,2022,SUV Kupe,Qara,2.0 L / 197 a.g. / Benzin,20 000 km
11,9502331,25800,AZN,Bakı,Ford,Transit,2006,Furqon,Ağ,2.2 L / 125 a.g. / Dizel,372 000 km
12,9470251,25000,AZN,Bakı,Hyundai,Elantra,2019,Sedan,Yaş Asfalt,2.0 L / 150 a.g. / Benzin,107 500 km
13,9506084,22900,USD,Bakı,Audi,A4,2016,Sedan,Göy,2.0 L / 249 a.g. / Benzin,115 000 km
14,9326269,82000,AZN,Bakı,Mercedes,GLE 43 AMG 4MATIC Coupe,2018,SUV Kupe,Yaş Asfalt,3.0 L / 390 a.g. / Benzin,77 000 km
15,9450103,10400,AZN,Bakı,Mercedes,C 230,1999,Sedan,Gümüşü,2.3 L / 193 a.g. / Benzin,258 000 km
16,9418318,21900,USD,Bakı,Ford,Mustang,2019,Kabriolet,Qara,2.3 L / 317 a.g. / Benzin,63 125 km
17,9506200,8100,AZN,Bakı,Opel,Astra,2006,"Hetçbek, 5 qapı",Göy,1.3 L / 90 a.g. / Dizel,222 220 km
18,9490424,10900,AZN,Şəmkir,Mercedes,E 240,1997,Sedan,Gümüşü,2.4 L / 170 a.g. / Benzin,700 000 km
19,9349674,23300,AZN,Bakı,BYD,Seal 05,2025,Sedan,Ağ,1.5 L / 290 a.g. / Plug-in Hibrid,0 km
20,9485843,20300,USD,Bakı,Toyota,Corolla Cross,2025,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 197 a.g. / Hibrid,0 km
